ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump,death_dum,COORD_X,COORD_Y,Longitude,Latitude
69,3,0,3,1,56.31,56.31,58.65,1,529341.9749,181046.5401,-0.13744584090383952,51.513546600591475
70,1,0,1,1,50.89,50.89,53.99,1,529344.872,181040.6852,-0.13740626076179044,51.51349332180292
71,0,0,0,1,46.14,46.14,50.0,0,529347.5999,181035.2611,-0.137368959739118,51.513443953167474
72,0,0,0,1,42.52,42.52,45.63,0,529351.2288,181030.3482,-0.13731849451233544,51.5133989724278
73,1,0,1,1,37.58,37.58,42.81,1,529353.7563,181023.8203,-0.1372844846132218,51.51333973009805
74,0,0,0,1,35.93,35.93,36.75,0,529360.7113,181016.9168,-0.13718684445035173,51.513276099590165
75,0,0,0,1,11.56,11.56,72.88,0,529328.4894,180999.0057,-0.13765749226765653,51.51312250789052
76,0,0,0,1,11.79,11.79,67.29,0,529333.3659,181001.9376,-0.13758618299694086,51.51314774073582
77,2,0,2,1,15.2,15.2,61.49,1,529338.2239,181005.6015,-0.13751487178785707,51.513179556024724
78,0,0,0,1,17.61,17.61,56.58,0,529342.9917,181006.8216,-0.13744575539766368,51.51318943022843
79,1,0,1,1,25.2,25.2,48.23,1,529350.2607,181011.5235,-0.1373393385989663,51.51323002214996
80,1,0,1,1,31.37,31.37,41.46,1,529356.4282,181014.6103,-0.13724937829844952,51.51325635153249
81,0,0,0,1,25.79,25.79,90.7,0,529307.2396,181040.8263,-0.13794822074996055,51.513503195956574
82,4,0,4,1,19.72,19.72,87.15,1,529309.9768,181035.0361,-0.1379109193476112,51.51345053533347
83,0,0,0,1,14.92,14.92,83.95,0,529312.7653,181030.2239,-0.13787252075435216,51.51340665195222
84,3,0,3,1,11.07,11.07,80.55,1,529316.0105,181025.4234,-0.13782754020922053,51.51336276926945
85,2,0,2,1,8.32,8.32,78.58,1,529318.1231,181020.2277,-0.13779901712815698,51.513315594027006
86,2,0,2,1,8.11,8.11,77.72,1,529319.4715,181015.1348,-0.13778146298991992,51.5132695173643
87,1,0,1,1,12.39,12.39,75.49,1,529322.5706,181010.0863,-0.1377386777927429,51.513223439358924
88,4,0,4,1,16.48,16.48,74.86,1,529324.3695,181005.2489,-0.137714541693516,51.51317955576504
89,0,0,0,1,12.47,12.47,74.29,0,529327.0461,180998.8469,-0.1376783378510717,51.51312141087146
90,4,0,4,1,39.89,39.89,114.3,1,529283.6393,181007.3867,-0.13830038318127758,51.51320808039091
91,3,0,3,1,23.43,23.43,109.06,1,529288.519,181010.1966,-0.13822907273351964,51.51323221652089
92,0,0,0,0,283.23,51.72,442.99,0,528996.1405,181214.4142,-0.14236546385679488,51.51513422972252
93,0,0,0,0,277.55,46.51,437.45,0,529000.4883,181210.6305,-0.1423042244040748,51.51509923487192
94,0,0,0,0,266.86,34.83,427.4,0,529006.9189,181200.572,-0.1422152801401413,51.5150073750173
95,0,0,0,0,270.7,41.83,430.53,0,529006.8348,181207.8711,-0.1422138225907007,51.51507298910327
96,0,0,0,0,262.7,28.74,423.73,0,529008.2852,181194.6035,-0.14219778326149615,51.514953426129615
97,0,0,0,0,257.43,20.3,419.15,0,529009.6162,181186.038,-0.1421817444461414,51.51487614680494
98,0,0,0,0,252.48,13.22,414.68,0,529011.6142,181179.112,-0.14215549923375795,51.51481344901846
99,0,0,0,0,248.26,6.96,410.91,0,529013.0011,181172.3327,-0.1421380022608774,51.514752208996775
100,0,0,0,0,255.88,14.28,418.61,0,529005.5582,181174.4152,-0.1422444426032868,51.51477262183943
101,0,0,0,0,242.24,16.59,406.34,0,529008.9594,181146.8786,-0.14220552284133786,51.5145243824335
102,0,0,0,0,233.48,10.32,397.36,0,529019.0685,181148.9862,-0.1420591492407078,51.51454101647799
103,0,0,0,0,229.82,18.21,393.99,0,529020.0783,181141.053,-0.14204750586170728,51.51446949271388
104,0,0,0,0,211.58,19.02,376.07,0,529031.059,181113.3834,-0.14189946805785128,51.51421832862241
105,0,0,0,0,208.89,15.17,373.27,0,529032.3821,181106.7538,-0.14188283580575778,51.514158448430436
106,0,0,0,0,203.93,11.51,368.14,0,529036.1383,181099.8158,-0.14183127239790458,51.51409524155186
107,0,0,0,0,188.67,27.23,351.5,0,529048.815,181076.0411,-0.1416573850612284,51.513878692504036
108,0,0,0,0,185.17,15.55,347.1,0,529052.0329,181066.8834,-0.14161438721454012,51.513795660574864
109,0,0,0,0,181.41,11.57,343.08,0,529055.7994,181064.5042,-0.1415610088240471,51.5137734198421
110,0,0,0,0,179.01,9.98,340.13,0,529058.2787,181060.1125,-0.14152690600123777,51.51373338709662
111,0,0,0,0,170.82,22.89,328.88,0,529068.1222,181041.3887,-0.14139198000604916,51.513562875217694
112,0,0,0,0,167.54,25.48,325.12,0,529071.7816,181039.1718,-0.14134008517095498,51.51354211737395
113,0,0,0,0,166.14,30.73,322.66,0,529074.0677,181034.2801,-0.1413089482376181,51.51349763530889
114,0,0,0,0,164.23,36.85,319.42,0,529077.1936,181028.7499,-0.1412659494542635,51.51344722353996
115,0,0,0,0,162.54,30.41,316.28,0,529080.3195,181023.2197,-0.1412229507648409,51.51339681175581
116,0,0,0,0,161.63,24.69,313.75,0,529082.9352,181017.5115,-0.14118736558160375,51.513344916779864
117,0,0,0,0,160.83,18.54,310.93,0,529085.9834,181010.9893,-0.14114584907171407,51.513285607889706
118,0,0,0,0,158.87,13.22,307.35,0,529089.8043,181006.4667,-0.14109247213901696,51.513244092423015
119,0,0,0,0,158.84,9.87,304.81,0,529092.865,180999.4499,-0.14105095675605,51.51318033582145
120,0,0,0,0,163.15,13.46,294.84,0,529107.5958,180966.6612,-0.1408507901195948,51.51288231053572
121,0,0,0,0,164.54,20.71,289.46,0,529115.8276,180954.6611,-0.1407366214978663,51.512772589796654
122,0,0,0,0,168.87,33.78,286.43,0,529122.5372,180941.7974,-0.14064469299940455,51.51265545558498
123,0,0,0,0,169.96,39.82,283.88,0,529126.8936,180936.4634,-0.14058390160840512,51.51260652581422
124,0,0,0,0,172.44,47.53,282.85,0,529129.9209,180930.7657,-0.14054238582985065,51.51255463102913
125,0,0,0,0,174.36,53.52,280.67,0,529134.3927,180924.9397,-0.1404801126805668,51.51250125339709
126,0,0,0,0,178.21,61.97,279.24,0,529139.1248,180916.9754,-0.14041487324930982,51.51242860002115
127,0,0,0,0,181.52,67.25,279.61,0,529140.9008,180911.9059,-0.14039114972152628,51.51238263636577
128,0,0,0,0,184.58,44.6,278.08,0,529145.4882,180905.5879,-0.14032739211950074,51.51232481079864
129,0,0,0,0,188.06,38.82,277.99,0,529148.3056,180900.0498,-0.14028884154119936,51.512274398137855
130,0,0,0,0,191.82,33.45,278.31,0,529150.8143,180894.5039,-0.14025473992661736,51.51222398586614
131,0,0,0,0,242.96,34.56,400.07,0,529042.2051,181210.6696,-0.1417033491533417,51.51509006801238
132,0,0,0,0,240.17,31.06,397.69,0,529043.0173,181207.0605,-0.14169297078609955,51.515057448740095
133,0,0,0,0,237.03,28.1,394.85,0,529044.5413,181203.7994,-0.14167221287742757,51.51502779440626
134,0,0,0,0,234.88,22.67,393.46,0,529043.4408,181198.4918,-0.14169000495483616,51.514980347691925
135,0,0,0,0,230.16,18.65,389.17,0,529045.8297,181193.6028,-0.141657385088614,51.51493586652152
136,0,0,0,0,220.63,9.58,381.17,0,529048.0457,181179.305,-0.1416306969368347,51.51480687066191
137,0,0,0,0,216.44,11.02,377.47,0,529049.727,181173.903,-0.14160845660467625,51.514757940776775
138,0,0,0,0,212.59,17.71,374.13,0,529051.0011,181168.3257,-0.14159214542316878,51.51470752844587
139,0,0,0,0,208.76,13.14,370.81,0,529052.1806,181162.4161,-0.1415773183615393,51.51465415141867
140,0,0,0,0,204.22,11.22,366.73,0,529054.1873,181156.3624,-0.14155062973526755,51.51459929062409
141,0,0,0,0,189.06,8.82,353.0,0,529060.543,181133.0953,-0.14146759823002597,51.51438874548188
142,0,0,0,0,184.3,15.97,348.52,0,529062.9906,181125.8979,-0.1414349779129056,51.51432350593843
143,0,0,0,0,180.24,21.31,344.59,0,529065.5894,181120.8493,-0.14139939392603026,51.514277542514506
144,0,0,0,0,176.76,26.68,341.21,0,529067.6739,181115.7875,-0.14137122232983185,51.514231577838785
145,0,0,0,0,171.87,33.5,336.38,0,529071.0223,181109.603,-0.14132525747819574,51.514175235304236
146,0,0,0,0,167.93,29.86,332.43,0,529073.7324,181104.2272,-0.14128819035225926,51.51412630599356
147,0,0,0,0,163.83,24.25,328.25,0,529076.7512,181098.8592,-0.14124667424343812,51.51407737630627
148,0,0,0,0,159.66,17.99,323.9,0,529079.7951,181092.5019,-0.1412051586220759,51.51401955032622
149,0,0,0,0,156.59,13.38,320.6,0,529082.0896,181087.2805,-0.1411740211380894,51.51397210339213
150,0,0,0,0,154.04,10.72,317.81,0,529084.149,181083.2081,-0.14114584950364586,51.51393503584142
151,0,0,0,0,150.72,9.0,314.1,0,529086.962,181077.8349,-0.14110729974567468,51.51388610635253
152,0,0,0,0,141.04,10.22,302.34,0,529096.2703,181059.9225,-0.14097978645370945,51.51372300799796
153,0,0,0,0,137.81,15.88,298.01,0,529099.9358,181053.416,-0.14092937324658675,51.51366369920501
154,0,0,0,0,134.75,22.96,293.57,0,529103.8153,181046.585,-0.14087599668903808,51.513601425349485
155,0,0,0,0,132.01,31.78,288.86,0,529108.0371,181038.4428,-0.14081816995219726,51.513527289953444
156,0,0,0,0,129.37,31.35,284.35,0,529112.3198,181031.952,-0.14075886200751497,51.513467981271475
157,0,0,0,0,128.45,26.13,281.89,0,529114.7088,181027.063,-0.14072624265755693,51.51342349982824
158,0,0,0,0,126.72,18.61,277.52,0,529119.1154,181019.7505,-0.14066545114258308,51.51335677843645
159,0,0,0,0,126.49,12.81,274.78,0,529122.0565,181013.3906,-0.14062541844913354,51.513298952364416
160,0,0,0,0,126.33,9.37,272.07,0,529125.088,181007.528,-0.14058390186579414,51.513245574726426
161,0,0,0,0,125.99,17.54,265.73,0,529132.4926,180995.6719,-0.14048159422366585,51.51313733670352
162,0,0,0,0,126.39,13.89,263.69,0,529135.0748,180991.2828,-0.14044600982789826,51.513097303522656
163,0,0,0,0,127.04,11.19,261.05,0,529138.5094,180985.7604,-0.1403985634111892,51.51304689105091
164,0,0,0,0,128.33,12.53,258.04,0,529142.6977,180978.9373,-0.14034073785259374,51.512984617439265
165,0,0,0,0,130.09,15.15,256.9,0,529144.774,180974.2054,-0.14031256545453172,51.51294161910457
166,0,0,0,0,131.51,19.75,254.97,0,529147.7804,180969.3321,-0.14027104897823284,51.512897137638014
167,0,0,0,0,134.11,24.89,253.84,0,529150.2933,180963.6213,-0.14023694679909926,51.51284524249512
168,0,0,0,0,135.91,30.87,251.74,0,529153.8224,180958.4313,-0.14018801816251264,51.51279779554019
169,0,0,0,0,138.75,37.13,250.35,0,529156.9568,180952.5713,-0.14014501955841346,51.512744417617434
170,0,0,0,0,141.26,34.98,248.7,0,529160.3873,180947.2139,-0.14009757248954413,51.512695488770504
171,0,0,0,0,143.92,33.88,247.24,0,529163.7107,180942.0187,-0.14005160866273528,51.5126480420094
172,0,0,0,0,147.72,34.71,246.59,0,529166.6436,180935.9886,-0.14001157472959788,51.51259318142278
173,0,0,0,0,152.17,36.74,245.17,0,529171.1532,180928.6787,-0.13994930093305757,51.512526459512536
174,0,0,0,0,198.5,22.34,277.57,0,529157.5683,180883.9512,-0.1401613284298986,51.51212760942421
175,0,0,0,0,203.57,17.07,278.17,0,529161.1436,180876.9476,-0.14011239904408626,51.51206385360199
176,0,0,0,0,157.57,45.24,243.79,0,529176.4081,180920.3978,-0.1398766485988909,51.512450841243925
177,0,0,0,0,162.42,38.72,243.76,0,529179.6622,180913.8809,-0.13983216717950056,51.512391532503955
178,0,0,0,0,165.83,31.79,243.01,0,529183.0802,180909.0181,-0.1397847197704566,51.51234705121304
179,0,0,0,0,169.39,27.09,243.43,0,529185.0452,180904.6133,-0.13975803151999872,51.51230701772411
180,0,0,0,0,177.19,16.84,243.38,0,529191.0623,180894.7019,-0.1396749992644513,51.51221657240667
181,0,0,0,0,216.91,9.93,278.49,0,529173.4528,180858.4516,-0.13994188799382745,51.51189482414685
182,0,0,0,0,223.9,18.15,286.82,0,529166.9982,180853.1729,-0.14003678129407937,51.51184886026511
183,0,0,0,0,219.65,13.18,281.81,0,529170.8282,180856.405,-0.1399804374303835,51.51187703142746
184,0,0,0,0,135.91,9.31,245.0,0,529198.5175,180880.8673,-0.139572691658639,51.512090541868496
185,0,0,0,0,171.18,13.9,279.54,0,529176.4802,180852.7539,-0.13990037213694959,51.511842929119474
186,0,0,0,0,173.58,19.93,281.23,0,529179.4215,180846.3941,-0.13986033878014498,51.51178510364805
187,0,0,0,0,175.04,25.89,281.87,0,529183.3749,180840.7199,-0.13980547802256543,51.51173320826177
188,0,0,0,0,178.03,33.24,283.89,0,529186.7403,180833.8759,-0.13975951414819282,51.511670934521135
189,0,0,0,0,180.46,28.2,285.29,0,529190.6034,180827.7045,-0.13970613618162692,51.51161459152811
190,0,0,0,0,182.75,29.58,286.51,0,529194.4539,180822.0277,-0.13965275873929028,51.51156269621318
191,0,0,0,0,136.89,13.46,245.19,0,529202.7879,180874.8713,-0.13951338315135117,51.51203568200771
192,0,0,0,0,137.81,17.24,245.51,0,529205.4605,180870.9795,-0.1394763163921543,51.512000096976486
193,0,0,0,0,138.78,21.87,245.78,0,529208.446,180866.9306,-0.13943480072512476,51.51196302863534
194,0,0,0,0,140.66,15.81,246.58,0,529212.2965,180861.2539,-0.13938142316062593,51.51191113409755
195,0,0,0,0,142.88,11.2,247.86,0,529214.9944,180856.3728,-0.13934435447470048,51.51186665270222
196,0,0,0,0,145.45,7.93,249.26,0,529218.3263,180850.8478,-0.13929839059567095,51.51181623989972
197,0,0,0,0,148.47,9.8,250.84,0,529222.2923,180844.6791,-0.1392435300572152,51.511759897454425
198,0,0,0,0,186.57,34.12,288.69,0,529199.9147,180813.7521,-0.13957714104514007,51.511487078361064
199,0,0,0,0,189.19,37.52,290.56,0,529201.7727,180809.5096,-0.1395519350712003,51.5114485278125
200,0,0,0,0,155.83,20.62,255.4,0,529228.6726,180832.6321,-0.13915605096675487,51.51165017679587
201,0,0,0,0,158.44,26.75,256.55,0,529232.6051,180827.7824,-0.13910119024147644,51.51160569539867
202,0,0,0,0,162.15,34.37,258.39,0,529237.2913,180821.6319,-0.1390359510721529,51.51154935184499
203,0,0,0,0,194.25,45.84,293.43,0,529208.6088,180799.784,-0.13945704136918727,51.51135956497396
204,0,0,0,0,197.14,50.55,295.23,0,529211.7182,180794.9134,-0.13941404272611596,51.511315083947686
205,0,0,0,0,200.99,38.78,297.9,0,529214.6428,180789.2131,-0.13937400947237125,51.51126318886159
206,0,0,0,0,202.22,33.68,297.91,0,529219.052,180785.8604,-0.13931173536326927,51.51123205174163
207,0,0,0,0,207.82,26.1,302.17,0,529221.7057,180778.6683,-0.13927615007353358,51.51116681215722
208,0,0,0,0,209.56,21.67,302.88,0,529225.0819,180775.4544,-0.13922870266616785,51.51113715837365
209,0,0,0,0,215.27,12.6,306.74,0,529229.81,180767.6551,-0.1391634643238967,51.51106598804468
210,0,0,0,0,165.29,45.57,260.37,0,529239.7709,180817.2403,-0.1390018477360513,51.51150931921974
211,0,0,0,0,167.33,41.0,261.08,0,529243.3612,180813.7018,-0.13895143553652756,51.51147669931488
212,0,0,0,0,171.79,34.97,264.21,0,529245.7672,180808.1533,-0.13891881603490291,51.511426286773194
213,0,0,0,0,174.61,30.41,265.8,0,529248.6457,180804.2668,-0.1388787828848503,51.51139070213426
214,0,0,0,0,178.84,24.7,268.67,0,529251.352,180799.0559,-0.13884171491647265,51.511343254852314
215,0,0,0,0,181.85,20.17,270.28,0,529254.7491,180795.0176,-0.1387942685622815,51.51130618748361
216,0,0,0,0,185.02,15.98,271.9,0,529258.562,180790.8248,-0.13874089048166183,51.511267636619564
217,0,0,0,0,189.36,11.51,274.47,0,529262.7128,180785.4857,-0.1386830659023239,51.511218707049444
218,0,0,0,0,192.65,7.3,276.54,0,529265.4885,180781.5966,-0.13864451460127555,51.511183122463436
219,0,0,0,0,227.33,6.27,314.04,0,529243.3083,180751.0044,-0.13897515925592957,51.51091326867941
220,0,0,0,0,223.26,7.81,314.31,0,529227.9494,180759.8533,-0.13919311766666473,51.51099630074038
221,0,0,0,0,232.61,11.44,318.18,0,529245.7269,180744.9613,-0.13894253978820242,51.51085840844204
222,0,0,0,0,236.94,18.0,321.07,0,529249.672,180739.617,-0.13888767988397052,51.51080947924943
223,0,0,0,0,241.37,24.02,324.26,0,529252.8928,180734.4192,-0.13884319776617832,51.51076203211384
224,0,0,0,0,246.52,30.61,328.12,0,529256.1303,180728.5619,-0.13879871677562697,51.51070865441667
225,0,0,0,0,257.56,31.19,336.41,0,529263.3424,180716.2061,-0.1386993743274144,51.51059596823438
226,0,0,0,0,262.4,24.87,340.01,0,529266.7731,180710.8487,-0.13865192811573265,51.510547038777716
227,0,0,0,0,266.62,18.88,342.97,0,529270.4957,180706.1587,-0.1386000336378212,51.51050404030701
228,0,0,0,0,204.72,6.96,284.87,0,529273.6558,180768.1102,-0.13853182886766582,51.51106005745599
229,0,0,0,0,207.82,11.71,286.6,0,529277.1433,180764.5691,-0.13848289897717475,51.51102743748794
230,0,0,0,0,213.17,17.69,290.52,0,529280.2738,180758.8741,-0.13843989971942897,51.51097554265799
231,0,0,0,0,217.66,23.96,293.4,0,529284.3092,180754.0271,-0.1383835575402369,51.510931061677724
232,0,0,0,0,223.19,31.32,297.1,0,529288.8843,180748.2038,-0.13831980039692238,51.510877683582244
233,0,0,0,0,229.84,42.42,301.97,0,529293.1759,180741.3834,-0.13826049166018295,51.510815409628435
234,0,0,0,0,237.03,32.12,307.13,0,529298.406,180734.0919,-0.13818783947156266,51.51074868745544
235,0,0,0,0,243.53,24.95,311.9,0,529302.895,180727.6065,-0.13812556540132032,51.51068937884974
236,0,0,0,0,249.77,18.62,316.77,0,529306.4496,180721.4274,-0.1380766363920587,51.51063303647105
237,0,0,0,0,255.07,13.94,320.9,0,529309.5676,180716.227,-0.13803363675796282,51.510585589175065
238,0,0,0,0,260.42,13.07,324.78,0,529313.8172,180711.0555,-0.13797432947466326,51.510538142847324
239,0,0,0,0,265.64,7.9,328.83,0,529317.1368,180706.0253,-0.1379283642562607,51.510492178955054
240,0,0,0,0,279.03,7.62,338.87,0,529327.2382,180693.4131,-0.13778750723702018,51.510376527191504
241,0,0,0,0,279.83,13.11,337.92,0,529333.0082,180693.2299,-0.13770447593078491,51.51037356139621
242,0,0,0,0,279.4,21.86,334.96,0,529341.2056,180694.7584,-0.1375858583641427,51.51038542294801
243,0,0,0,0,261.13,15.2,321.98,0,529325.036,180711.1759,-0.13781271374535234,51.510536659626624
244,0,0,0,0,261.49,16.44,318.77,0,529336.131,180712.1182,-0.1376525797708232,51.51054259065833
245,0,0,0,0,254.72,14.3,310.92,0,529339.5474,180719.4647,-0.1376006848136594,51.51060783012231
246,0,0,0,0,282.88,21.19,329.23,0,529369.8732,180696.973,-0.13717218124981687,51.51039876813143
247,0,0,0,0,285.25,21.18,328.96,0,529377.9109,180696.6826,-0.13705653026761974,51.510394319781916
248,0,0,0,0,276.43,5.9,307.82,0,529380.5673,180717.7039,-0.1370105667430301,51.51058262403898
249,0,0,0,0,251.9,10.57,300.66,0,529360.6769,180726.602,-0.1372937640879949,51.51066713834685
250,0,0,0,0,250.22,19.21,307.6,0,529336.1501,180723.503,-0.1376481323556726,51.510644898006866
251,0,0,0,0,245.01,25.33,303.89,0,529331.913,180728.1799,-0.13770744066540155,51.51068789681927
252,0,0,0,0,239.29,37.79,299.34,0,529328.7909,180733.5451,-0.13775043870540818,51.510736826176455
253,0,0,0,0,234.89,41.17,296.23,0,529325.2907,180737.5808,-0.13779936941390186,51.51077389416653
254,0,0,0,0,228.68,45.54,291.56,0,529321.3329,180743.4197,-0.13785422975741105,51.51082727157967
255,0,0,0,0,224.48,45.89,288.97,0,529317.1168,180747.2722,-0.137913538144211,51.51086285685771
256,0,0,0,0,220.56,48.88,286.27,0,529314.0367,180750.9886,-0.1379565358489571,51.5108969592754
257,0,0,0,0,215.35,41.45,282.45,0,529310.7172,180756.0188,-0.13800250005279188,51.510942923135126
